complex_word	simple_word	POS	complex_lemma	simple_lemma	complex_index	simple_index	complex_sentence	simple_sentence
entire	whole	JJ	entire	whole	9	10	some expressed disappointment that she did not address the entire student body .	some were disappointed that she did not speak to the whole student body .
good	happy	JJ	good	happy	11	9	donghui village , china the pig farmer was not in a good mood .	donghui village , china the pig farmer was not happy .
nauseating	sickening	JJ	nauseating	sickening	8	3	the results were as spectacular as they were nauseating : more than 14,000 pig corpses were found floating in the huangpu river and its tributaries last month .	the results were sickening .
lack	need	NN	lack	need	22	15	in donghui , a speck on the map to the southwest of shanghai in neighboring zhejiang province , farmers spoke of a lack of money and information .	in donghui , southwest of shanghai in neighboring zhejiang province , farmers spoke of their need for money and information .
evident	clear	JJ	evident	clear	19	19	once the pigs began showing up in the huangpu river , the public 's wariness about official explanations became evident .	once the pigs began showing up in the huangpu river , the public 's doubts about official explanations became clear .
detention	prison	NN	detention	prison	8	9	it was not clear how pan , in detention before the floating pigs came to light , could answer with such certainty .	but it was not clear how pan , in prison before the floating pigs came to light , could answer with such certainty .
explanation	reason	NN	explanation	reason	8	8	in zhulin , pan 's relatives offered an explanation for why he 'd gotten mixed up in that line of work .	in zhulin , pan 's relatives had a reason for why he had gotten mixed up in that line of work .
gauze	bandage	NN	gauze	bandage	15	3	his wife , hang yaqin , hiked up her t-shirt , unwrapped a strap of gauze and pointed to a tube .	she unwrapped a bandage and pointed to a tube .
find	show	VB	find	show	12	3	they also need to know how to read a tape measure and find the density of a block of foam -lrb- mass divided by volume -rrb- .	they also must show they know how to read a tape measure .
industry	business	NN	industry	business	19	12	he also sits on an aerospace workforce training committee and said that most other washington state suppliers in his industry have been seeing the same problem .	he said that most other washington state suppliers in his line of business have been seeing the same problem .
grasp	understand	VB	grasp	understand	16	5	they 're looking for ways to make math relate to the real world so students will grasp why it 's necessary and stick with it .	that way , students will understand why math matters .
collaboration	work	NN	collaboration	work	13	14	it has developed a middle school math curriculum that uses projects and encourages collaboration .	it has developed a middle school math curriculum that uses projects and encourages group work .
middle	middle-school	JJ	middle	middle-school	4	5	it has developed a middle school math curriculum that uses projects and encourages collaboration .	the center has developed a middle-school math program that uses projects and encourages group work .
curriculum	program	NN	curriculum	program	7	7	it has developed a middle school math curriculum that uses projects and encourages collaboration .	the center has developed a middle-school math program that uses projects and encourages group work .
tunneling	tunnel	NN	tunneling	tunnel	9	2	it is capable of sniffing out frozen carcasses and tunneling through five feet of snow to crack open bones and tear apart even frozen carrion .	it can tunnel through five feet of snow to crack open bones and tear apart even frozen meat .
enable	help	VBP	enable	help	2	2	semi-retractable claws enable them to climb trees and scramble up and down rocky slopes .	their claws help them climb trees and scramble up and down rocky slopes .
instance	example	NN	instance	example	4	4	highway 2 , for instance , is a travel corridor wolverines will need to cross if they are to make it as far south as mount rainier .	highway 2 , for example , is a travel corridor wolverines will need to cross if they are to make it as far south as mount rainier .
example	instance	NN	example	instance	4	4	highway 2 , for example , is a travel corridor wolverines will need to cross if they are to make it as far south as mount rainier .	highway 2 , for instance , is a travel corridor wolverines will need to cross if they are to make it as far south as mount rainier .
make	get	VB	make	get	19	11	highway 2 , for instance , is a travel corridor wolverines will need to cross if they are to make it as far south as mount rainier .	for instance , wolverines will need to cross highway 2 to get as far south as mount rainier .
perhaps	maybe	RB	perhaps	maybe	1	1	dozens perhaps hundreds of horses and other large animals have been abandoned or neglected with no consequences for the owners , according to several horse rescuers .	dozens maybe hundreds of horses and other large animals have been abandoned or neglected .
organization	group	NN	organization	group	13	13	he estimates that 35 to 50 abandoned horses are running free near his organization 's base in beecher , illinois .	he estimates that 35 to 50 abandoned horses are running free near his group 's farm in beecher , illinois .
number	lot	NN	number	lot	20	11	several county animal control departments in the chicago area say that they have tried to cope with an unusually high number of horse abandonment cases .	several animal control departments in illinois say they are getting a lot of calls about horse abandonment .
issue	give	VB	issue	give	8	8	county animal control departments have the authority to issue citations and work with owners on improving care .	county animal control departments have the power to give fines and work with owners on improving care .
authority	power	NN	authority	power	6	6	county animal control departments have the authority to issue citations and work with owners on improving care .	county animal control departments have the power to give fines and work with owners on improving care .
give	issue	VB	give	issue	8	8	county animal control departments have the power to give fines and work with owners on improving care .	county animal control departments have the power to issue fines and work with owners on improving care .
acknowledge	admit	VBP	acknowledge	admit	27	3	budget cuts in the last six years , however , have made it a challenge to handle humane care calls , state and local animal welfare officials acknowledge .	animal welfare officials admit it is a challenge to handle all the neglect calls .
surgery	operation	NN	surgery	operation	8	9	ten days later , he had a secret surgery to help him slim down .	ten days later , he had a secret weight-loss operation .
well	also	RB	well	also	12	2	many say they are fleeing violence from gangs and drug cartels as well as abuse , sometimes by their own family members .	they are also trying to get away from abuse , sometimes by their own family members .
increase	rise	NN	increase	rise	5	5	whatever the reason , the increase has been so dramatic that it caught the government and advocates by surprise .	whatever the reason , the rise has been huge .
labyrinth	maze	NN	labyrinth	maze	15	15	providing temporary shelter and support services to these children while their cases work through the labyrinth of federal immigration and legal systems is n't cheap .	providing temporary shelter and support services to these children while their cases work through the maze of immigration and legal systems is not cheap .
primarily	mostly	RB	primarily	mostly	19	20	the temporary shelters are now gone , replaced with an additional 1,300 beds in licensed homes and facilities , primarily in texas .	the temporary shelters are now gone , replaced with an additional 1,300 beds in licensed homes and other buildings , mostly in texas .
education	schooling	NN	education	schooling	0	6	education and medical services are provided .	they get medical services and some schooling .
receive	get	VBP	receive	get	1	1	they receive education and medical services .	they get medical services and some schooling .
ultimately	finally	RB	ultimately	finally	16	10	orr data show that more than 65 percent of these children from 2008 to 2010 were ultimately placed with sponsors living in the united states .	almost two-thirds of these children from 2008 to 2010 were finally placed with sponsors living in the united states .
ensure	make	VB	ensure	make	3	3	the government must ensure that the family members or family friends can take care of these children properly and that the home is suitable .	they need to make sure that the family members or friends can take care of the children and that the home is suitable .
home	family	NN	home	family	20	8	they need to make sure that the family members or friends can take care of the children and that the home is suitable .	the government needs to make sure that the family members or family friends can take care of the children .
greater	wider	JJR	greater	wider	13	13	it is twice as fast as the helicopter it replaces , has substantially greater range , and can carry more cargo and more than twice as many troops .	it is twice as fast as the helicopter it replaces and has much wider range .
maintain	keep	VB	maintain	keep	6	6	the marines are learning how to maintain it in a harsh environment .	the marines are learning how to keep it flying in a harsh environment .
massive	huge	JJ	massive	huge	15	15	they picked up the wounded man and flew another 75 miles or so to the massive coalition base in kandahar .	they picked up the wounded man and flew another 75 miles or so to the huge military base in kandahar .
model	type	NN	model	type	25	24	that , mccain said , more than doubled the cost per hour of flight , compared with about $ 4,600 for the ch-46 , a model of helicopter .	that more than doubled the cost per hour of flight , he said , compared with about $ 4,600 for the ch-46 , a type of helicopter .
pledge	promise	NN	pledge	promise	1	1	his pledge raises many questions , some easier to answer than others .	his promise raises many questions , some easier to answer than others .
remote	faraway	JJ	remote	faraway	12	6	a : pentagon officials considered a variety of pacific islands and other remote locations for holding men detained after the sept .	a : the military considered many faraway locations for holding men after the sept .
monitor	watch	VB	monitor	watch	9	9	but in april , detainees covered cameras used to monitor them .	but in april , detainees covered cameras used to watch over them .
get	take	VB	get	take	17	12	the supreme court ruled in a 2008 decision that guantanamo detainees had the same constitutional right to get their day in court as prisoners in the united states .	the supreme court ruled in a 2008 decision that the detainees could take their case to court , just like prisoners in the united states .
decision	case	NN	decision	case	7	13	the supreme court ruled in a 2008 decision that guantanamo detainees had the same constitutional right to file a habeas corpus petition as prisoners in the united states .	the supreme court ruled in a 2008 that the detainees could take their case to court , just like prisoners in the united states .
hold	keep	VB	hold	keep	4	8	the average cost to hold a prisoner in the united states is about $ 30,000 per year .	it costs about $ 30,000 a year to keep someone at a regular prison in the united states .
prisoner	prison	NN	prisoner	prison	6	13	the average cost to hold a prisoner in the united states is about $ 30,000 per year .	it costs about $ 30,000 a year to keep someone at a regular prison in the united states .
transfer	move	VB	transfer	move	15	13	a : since 2009 , congress has made it difficult for the obama administration to transfer men out of guantanamo .	a : since 2009 , congress has made it hard for obama to move men out of guantanamo .
difficult	hard	JJ	difficult	hard	9	9	a : since 2009 , congress has made it difficult for the obama administration to transfer men out of guantanamo .	a : since 2009 , congress has made it hard for obama to move men out of guantanamo .
act	law	NN	act	law	4	1	the national defense authorization act for fiscal year 2013 prohibits using any military funds to transfer detainees to the united states .	one law prohibits using military funds to transfer detainees to the united states .
vehicle	automobile	NN	vehicle	automobile	19	10	at a recent senate hearing , lawmakers struggled to fully understand the risks involved with these latest advancements in vehicle technology .	recently , senators met to discuss the latest advances in automobile technology .
recent	new	JJ	recent	new	2	10	at a recent senate hearing , lawmakers struggled to fully understand the risks involved with these latest advancements in vehicle technology .	many struggled to fully understand the risks involved with the new vehicles .
people	humans	NNS	people	human	11	11	proponents of self-driving technology say computers can navigate roads better than people , who are much more error-prone than machines are .	people who support self-driving technology say computers can drive better than humans .
slow	slow-moving	JJ	slow	slow-moving	17	17	this technology allows a driver to push a button to let the car make its way through slow moving traffic by itself .	this technology allows a driver to push a button to let the car find its way in slow-moving traffic by itself .
business	company	NN	business	company	1	1	the business also has an office in joplin , missouri , where it worked with the school district to build 16 safe rooms in schools across the city .	the company also has an office in joplin , missouri , where it built 16 safe rooms in schools across the city .
company	business	NN	company	business	1	1	the company also has an office in joplin , missouri , where it built 16 safe rooms in schools across the city .	the business also has an office in joplin , missouri , where it built 16 safe rooms .
rise	jump	NN	rise	jump	9	9	whenever there 's a tornado , erwin sees a rise in interest .	whenever there 's a tornado , erwin sees a jump in interest .
get	become	VBP	get	become	7	7	whenever there 's a tornado , people get interested in erwin 's company .	whenever there is a tornado , people become interested in erwin 's company .
national	nationwide	JJ	national	nationwide	2	11	on a national level , hurricane katrina in 2005 and tornadoes in recent years are behind a boom in safe rooms .	hurricane katrina in 2005 and tornadoes in recent years triggered a nationwide boom in safe rooms .
lumber	wood	NN	lumber	wood	12	12	any window glass must be able to withstand a 2-by-4 piece of lumber shot at it from a cannon .	any window glass must be able to withstand getting hit by flying wood .
state	country	NN	state	country	21	12	nearly all of the tornado safe rooms are being built in rural areas , mostly in the southern part of the state .	nearly all of the tornado safe rooms are being built in the country .
structure	building	NN	structure	building	5	5	davidson hall is a two-story structure housing the biology , chemistry , and health and sciences programs .	davidson hall is a two-story building .
housing	home	NN	housing	home	6	2	davidson hall is a two-story structure housing the biology , chemistry , and health and sciences programs .	it is home to the college 's biology , chemistry , and health and sciences programs .
room	space	NN	room	space	3	3	there 's enough room inside for 1,615 people - more than the town 's population .	there 's enough space for 1,615 people more than the town 's population .
campus	school	NN	campus	school	5	5	it would be on a campus used by children in preschool through 12th grade .	it would be at a school used by children in preschool through 12th grade .
orange-red	orange	JJ	orange-red	orange	4	8	the torpedo-shaped trout with orange-red cheeks and sparkling rose-pink stripes can grow as large as salmon .	the trout is shaped like a torpedo with orange cheeks and pink stripes .
rose-pink	pink	JJ	rose-pink	pink	8	11	the torpedo-shaped trout with orange-red cheeks and sparkling rose-pink stripes can grow as large as salmon .	the trout is shaped like a torpedo with orange cheeks and pink stripes .
dramatically	sharply	RB	dramatically	sharply	13	10	the surge of snowmelt that once gushed into pyramid lake each spring shrank dramatically .	snowmelt that once gushed into pyramid lake each spring shrank sharply .
government	state	NN	government	state	3	4	duff was a government biologist at the time searching for a trout native to the great salt lake region : the bonneville cutthroat .	duff was a utah state biologist at the time .
ensure	guarantee	VB	ensure	guarantee	9	6	the fish 's discovery , though , did not ensure its recovery .	the fish 's discovery did not guarantee its recovery , though .
guarantee	ensure	VB	guarantee	ensure	6	7	the fish 's discovery did not guarantee its recovery , though .	but the fish 's discovery did not ensure its recovery .
support	help	NN	support	help	3	3	with little official support , he built a rustic fish hatchery at the base of morrison creek on a small ranch owned by a fish-friendly landowner .	with little official help , he built a small fish hatchery at the base of morrison creek on a ranch owned by a fish-friendly landowner .
seldom	rarely	RB	seldom	rarely	3	3	those that did seldom survived .	those that did rarely survived .
legislation	law	NN	legislation	law	21	16	farmers across the country warn that even more imported food will be on store shelves if congress fails to pass immigration legislation .	even more could come from outside the united states if congress fails to pass an immigration law that farmers are demanding .
agriculture	farm	NN	agriculture	farm	2	6	addressing the agriculture labor shortages has been one of the less controversial issues in the immigration debate taking place on capitol hill .	figuring out what to do about farm labor shortages has been one of the less controversial issues in the immigration debate in washington .
agriculture	farming	NN	agriculture	farming	7	8	many republicans and democrats agree that the agriculture industry is suffering because of a broken immigration system .	many lawmakers agree that the immigration system hurts farming .
farm	farming	NN	farm	farming	7	8	many republicans and democrats agree that the farm industry is suffering because of a broken immigration system .	many lawmakers agree that the immigration system hurts farming .
path	way	NN	path	way	9	8	a proposal in the senate that would create a path to citizenship for the estimated 11 million people living in the united states illegally .	a plan in the senate would create a way for people living in the united states illegally to become citizens .
apply	ask	VB	apply	ask	7	4	after five years , farm workers could apply for permanent residency and eventually citizenship .	farm workers could also ask to live here for good after five years .
farmer	farm	NN	farmer	farm	9	6	charles conner , president of the national council of farmer cooperatives said the country could n't keep growing as much food as it does without its foreign-born workers .	charles conner , president of a farm trade group , said the country could n't keep growing as much food as it does without foreign-born workers .
association	group	NN	association	group	4	4	lee wicker , the association 's deputy director , estimates his members employ about 7,500 workers under the program .	lee wicker is the group 's assistant director .
instance	case	NN	instance	case	19	18	just because a military tactic is legal , does n't mean '' it is wise or moral in every instance , '' obama said .	just because something is legal , does n't mean '' it is wise or moral '' in every case , obama said .
lethal	deadly	JJ	lethal	deadly	12	14	at the same time , obama reserved the right to order covert lethal action anywhere the administration finds a threat from al-qaida .	at the same time , the president reserved the right to order secret , deadly action anywhere the administration finds a threat from al-qaida .
appear	seem	VB	appear	seem	10	9	but the items that fogle carried with him did n't appear to be genuine tools of a cia spy .	but the things fogle carried with him did not seem to be the tools of a cia spy .
official	officer	NN	official	officer	10	10	the wording of the letter intended to recruit the russian official sounded unreal to o ' neill .	the wording of the letter intended to recruit the russian officer sounded unreal to o ` neill .
officer	official	NN	officer	official	10	10	the wording of the letter intended to recruit the russian officer sounded unreal to o ` neill .	the wording of the letter intended to recruit the russian official sounded fake to o ` neill .
alleged	supposed	JJ	alleged	supposed	11	10	fogle is widely described as extremely smart , which makes his alleged missteps even harder to understand .	fogle is described as very smart , which make his supposed missteps hard to understand .
doubt	question	NN	doubt	question	5	5	but his future is in doubt .	but his future is in question .
fundamental	basic	JJ	fundamental	basic	7	4	congress needs to correct the service 's fundamental problem a lack of flexibility and authority over itself , carper has said .	congress needs to correct basic problems , like a lack of flexibility , they say .
determine	decide	VB	determine	decide	8	16	testers also measure respiration and blood pressure to determine whether someone is lying , but many see the sweat measurement as a really true sign of lying .	the people who give the tests also look at levels of breathing and blood pressure to decide whether someone is lying .
respiration	breathing	NN	respiration	breathing	3	11	testers also measure respiration and blood pressure to determine whether someone is lying , but many see the sweat measurement as a really true sign of lying .	the people who give the tests also look at levels of breathing and blood pressure to decide whether someone is lying .
see	give	VBP	see	give	16	3	testers also measure respiration and blood pressure to determine whether someone is lying , but many see the sweat measurement as a really true sign of lying .	the people who give the tests also look at levels of breathing and blood pressure to decide whether someone is lying .
see	look	VBP	see	look	16	7	testers also measure respiration and blood pressure to determine whether someone is lying , but many see the sweat measurement as a really true sign of lying .	the people who administer the tests also look at levels of breathing and blood pressure to decide whether someone is lying .
give	administer	VBP	give	administer	3	3	the people who give the tests also look at levels of breathing and blood pressure to decide whether someone is lying .	the people who administer the tests also look at levels of breathing and blood pressure to decide whether someone is lying .
administer	give	VBP	administer	give	3	3	the people who administer the tests also look at levels of breathing and blood pressure to decide whether someone is lying .	the people who give the tests look at breathing and blood pressure to decide whether someone is lying .
rely	use	VB	rely	use	7	7	other police departments say they do not rely entirely on a polygraph test to determine whether they should hire someone .	other police departments say they do not use just the tests to decide if they should hire someone .
demonstrate	show	VBP	demonstrate	show	4	1	documents obtained by mcclatchy demonstrate that the bureau is rejecting people even as the applicants insist they 've never done anything wrong .	documents show that the bureau is rejecting people even as the applicants insist they have never done anything wrong .
show	demonstrate	VBP	show	demonstrate	1	4	documents show that the bureau is rejecting people even as the applicants insist they have never done anything wrong .	documents obtained by mcclatchy demonstrate that the bureau is rejecting people even as the applicants insist they have never done anything wrong .
additional	extra	JJ	additional	extra	10	10	in a normal summer , the park service hires an additional 10,000 people to handle the larger crowds .	in a normal summer , the park service hires an extra 10,000 people to handle the larger crowds .
reduce	cut	VB	reduce	cut	6	6	but this year , it will reduce that number by 1,000 .	but this year , it will cut that number by 1,000 .
smaller	fewer	JJR	smaller	fewer	1	0	the smaller workforce will result in less frequent mowing , sand-covered bike paths , messier restrooms and fewer interpretive programs .	fewer workers means less frequent mowing , sand-covered bike paths , messier restrooms and fewer tours .
maintenance	upkeep	NN	maintenance	upkeep	14	13	even with the private help , visitors to california 's state parks will find maintenance reductions and shortened operating hours .	even with the donations , california 's state parks must cut down on upkeep such as repairs and mowing .
vacant	unfilled	JJ	vacant	unfilled	17	17	the mammoth cave national park in kentucky has absorbed a $ 324,000 cut by leaving four jobs vacant , including the park electrician .	the mammoth cave national park in kentucky has absorbed a $ 324,000 cut by leaving four jobs unfilled .
rate	pace	NN	rate	pace	13	12	a new study finds frogs , toads and salamanders disappearing at an alarming rate across the united states .	baltimore frogs , toads and salamanders are disappearing at a surprisingly fast pace across the united states , a new study shows .
report	say	VBP	report	say	1	1	scientists report that environmentally sensitive amphibians are dying out in more places and more quickly than previously thought .	scientists say that some amphibians are dying out in more places and faster than previously thought .
time	period	NN	time	period	16	16	the new study is valuable because it made repeated checks over many locations for a long time .	the new study is valuable because it made repeated checks over many locations for a long period .
salinity	salt	NN	salinity	salt	2	3	changes in salinity can kill the freshwater aquatic insects on which salamanders and frogs feed .	changes in the salt level can kill the freshwater aquatic insects on which salamanders and frogs feed .
country	homeland	NN	country	homeland	19	17	there is a constant murmur of stories about the civil war that forced the residents to flee their home country in the past year .	there is a constant murmur of stories about the civil war that forced syrians to flee their homeland in the past year .
rather	instead	RB	rather	instead	0	0	rather , he points to a sign in front of the mosque behind him .	instead , he points to a sign in front of the mosque behind him .
scour	search	VBP	scour	search	4	4	rich persian gulf men scour the camps to buy brides living in tents .	rich persian gulf men search the camps to buy brides living in tents .
technique	method	NN	technique	method	1	1	the technique is as simple as it is risky .	the method is as simple as it is risky .
space	area	NN	space	area	9	4	that is more than 780 square miles - more space than los angeles and new york combined .	that is a larger area than los angeles and new york combined .
typically	usually	RB	typically	usually	0	6	typically , dry-farmed fruit grows much smaller than fruit from irrigated farms , and the yield is also smaller .	the fruit from dry farms is usually much smaller than fruit from irrigated farms .
dry-farmed	dry	JJ	dry-farmed	dry	2	3	typically , dry-farmed fruit grows much smaller than fruit from irrigated farms , and the yield is also smaller .	the fruit from dry farms is usually much smaller than fruit from irrigated farms .
rainwater	rain	NN	rainwater	rain	7	10	there is no irrigation here , only rainwater in this area , '' said durst , a fifth-generation farmer .	durst 's farm gets between 8 and 30 inches of rain each year .
keep	preserve	VB	keep	preserve	1	1	to keep the rainwater from evaporating or running off , durst uses the residue from past crops to trap moisture .	to preserve the rainwater , durst uses the residue from past crops to trap moisture .
eschew	avoid	VBP	eschew	avoid	6	4	he said he understands why farmers eschew dry farming , but believes irrigation comes with its own burdens .	he understands why farmers avoid dry farming .
short-term	short	JJ	short-term	short	5	8	while tornadoes can do vast short-term damage , hurricanes have an arsenal of ways to damage lives and property .	while tornadoes can do vast damage in a short time , hurricanes have many ways to damage lives and property .
vast	major	JJ	vast	major	4	3	while tornadoes can do vast short-term damage , hurricanes have an arsenal of ways to damage lives and property .	tornadoes can do major damage in a short time .
storm	hurricane	NN	storm	hurricane	5	2	heavy rains : a slow-moving storm can produce considerably more rainfall than a swifter , stronger one .	a slow-moving hurricane can produce considerably more rainfall than a swifter , stronger one .
considerably	much	RB	considerably	much	8	5	heavy rains : a slow-moving storm can produce considerably more rainfall than a swifter , stronger one .	a slow-moving hurricane can produce much more rainfall than a swifter , stronger one .
treacherous	dangerous	JJ	treacherous	dangerous	11	9	a storm surge is what forecasters consider a hurricane 's most treacherous aspect .	a storm surge is considered a hurricane 's most dangerous aspect .
especially	mostly	RB	especially	mostly	10	1	twisters typically form on the outer edges of hurricanes , especially in or ahead of the storm 's most powerful part its front right section .	they mostly form in or ahead of the storm 's most powerful part its front right section .
much	greatly	RB	much	greatly	15	6	demand for rhino horn has boomed in recent years , with criminal syndicates offering as much as $ 30,000 a pound for the horns .	demand for rhino horn has increased greatly in recent years .
dramatically	greatly	RB	dramatically	greatly	6	6	demand for rhino horn has increased dramatically in recent years , with criminal networks offering as much as $ 30,000 per pound for the horns .	demand for rhino horn has increased greatly in recent years .
anticipate	predict	VB	anticipate	predict	8	7	his team 's goal : use patterns to anticipate where poachers will be , and then quickly mobilize game wardens to intercept them .	they will use software to try to predict where the hunters will be .
combat	fight	VB	combat	fight	11	7	wildlife groups say they 're eager to deploy the technology to combat poachers .	wildlife groups also say they want to fight back against the hunters .
vast	huge	JJ	vast	huge	8	8	scientists have only begun to dig through its vast trove of data , where proof of another earth-like planet may be hiding .	scientists have only begun to dig through the huge amounts of data from kepler , where proof of another earth-like planet may be hiding .
survive	live	VB	survive	live	6	6	but scientists had hoped it would survive far longer .	but scientists had hoped it would live far longer .
bring	make	VB	bring	make	4	9	engineers will try to bring the failed devices back into service , or find other ways to salvage the spacecraft .	they will also try to find other ways to make the spacecraft work .
incident	event	NN	incident	event	11	11	lund , 49 , says he has no memory of the incident that got him fired : shoving and berating another flight attendant .	lund , 49 , says he has no memory of the event that got him fired last summer : shoving and insulting another flight attendant .
loss	lack	NN	loss	lack	9	9	he does research for the federal aviation administration on loss of sleep and fatigue .	he does research for the federal aviation administration on lack of sleep and fatigue .
aviation	flight	NN	aviation	flight	1	3	one aviation expert thinks the government should make flight attendant rest requirements more like those of pilots .	one expert thinks flight attendants and pilots should get similar rest .
ensure	secure	VB	ensure	secure	12	12	on short sleep , he said , he 'll sometimes fail to ensure that carry-ons are stowed in overhead bins .	on short sleep , he said , he 'll sometimes fail to secure carry-on bags .
acquire	buy	VB	acquire	buy	11	11	as live sports programming has become more expensive for networks to acquire , multimillion-dollar salaries for professional athletes and college coaches have increased as well .	as live sports programming has become more expensive for networks to buy , multimillion-dollar salaries for professional athletes and college coaches have increased as well .
programming	broadcast	NN	programming	broadcast	3	13	as live sports programming has become more expensive for networks to acquire , multimillion-dollar salaries for professional athletes and college coaches have increased as well .	huge salaries for professional athletes and college coaches have increased as well as broadcast fees .
regional	local	JJ	regional	local	24	21	last september , directv added a $ 3 monthly fee to the bills of new customers in markets where there is more than one regional sports channel .	directv added a $ 3 monthly fee to the bills of new customers in markets where there is more than one local sports channel .
real	real-time	JJ	real	real-time	13	3	and while skipping commercials is easy on a recorded program , sports is real reality tv that 's coveted by advertisers .	and sports is real-time tv that is sought by advertisers because it is harder to skip commercials .
combat	fight	NN	combat	fight	15	9	the spokane-based program for the past five years has helped 65 tribes across the country combat suicide , the second-biggest killer of native youth , after accidents .	native aspirations has helped 65 tribes across the country fight suicide for the past five years .
stop	prevent	VB	stop	prevent	17	10	it works with schools and parent groups to teach the warning signs of suicide and ways to stop it .	they learn the warning signs of suicide and ways to prevent it .
abuse	addiction	NN	abuse	addiction	15	3	poverty , isolation , lack of adequate resources to treat mental health problems , substance abuse and family turmoil are some of the reasons she listed .	drug and alcohol addiction and family problems have an effect , too , wagner said .
substance	drug	NN	substance	drug	14	0	poverty , isolation , lack of adequate resources to treat mental health problems , substance abuse and family turmoil are some of the reasons she listed .	drug and alcohol addiction and family problems have an effect , too , wagner said .
only	just	RB	only	just	3	3	today it covers only about 52 percent of the needed care .	today it covers just over half of the needed care .
health	mental-health	NN	health	mental-health	1	0	mental health accounts for more than a third of the unmet need , said erin bailey , director of the center for native american youth .	mental-health needs are going unmet , said erin bailey , director of the center for native american youth .
mental-health	health	NN	mental-health	health	0	3	mental-health needs are going unmet , said erin bailey , director of the center for native american youth .	many are mental health problems , said erin bailey , director of the center for native american youth .
story	tale	NN	story	tale	6	8	washington it began as an irresistible story : a flea market find in the west virginia panhandle of a tiny , long-forgotten painting by a french master .	washington it had the makings of a great tale : a long-forgotten painting by a famous french artist was found in a west virginia flea market .
virtually	nearly	RB	virtually	nearly	6	3	in her will , she left virtually all her artworks to the museum , which seems to have only added to the painting 's confusing history .	her will gave nearly all her artworks to the museum .
little	tiny	JJ	little	tiny	6	5	at its center is an appealing little painting by an immortal artist that was reportedly discovered in a box of knickknacks .	at its center is a tiny painting by a legendary artist that was reportedly found in a box of bargains .
fewer	lower	JJR	fewer	lower	7	9	for minority and low-income students , even fewer finish college .	and minority and low-income students finish college at a lower rate .
develop	create	VB	develop	create	8	9	in europe , businesses and educators not only develop the next generation of workers ; they also help young people become adults .	in europe , companies and teachers do not just create the next generation of workers .
trade	business	NN	trade	business	15	5	before coming to olympic to teach business , economics and math , he worked for trade associations , including the charlotte apparel mart .	he used to work for business groups and now links olympic to the business community .
plant	factory	NN	plant	factory	12	12	in january , bosch rexroth started hiring high school interns in the plant that makes manufacturing equipment .	in january , bosch rexroth started hiring high school interns in the factory that makes manufacturing equipment .
real	actual	JJ	real	actual	22	23	a school district may not be able to afford to create machine shops at high schools , but students can go to real workplaces .	a school district may not be able to afford to create machine shops at high schools , but students can go to the actual workplaces .
actual	real	JJ	actual	real	23	23	a school district may not be able to afford to create machine shops at high schools , but students can go to the actual workplaces .	a school district may not be able to afford to create machine shops at high schools , but students can go to the real workplaces instead .
