word	word_index	number_of_complex_annotators	context
demanded	23	3	Proponents of the requirement argued that American children were falling behind in financial literacy and that the increasingly complex world of consumer banking demanded a new kind of education .
increasingly	17	3	Proponents of the requirement argued that American children were falling behind in financial literacy and that the increasingly complex world of consumer banking demanded a new kind of education .
requirement	3	4	Proponents of the requirement argued that American children were falling behind in financial literacy and that the increasingly complex world of consumer banking demanded a new kind of education .
consumer	21	3	Proponents of the requirement argued that American children were falling behind in financial literacy and that the increasingly complex world of consumer banking demanded a new kind of education .
argued	4	1	Proponents of the requirement argued that American children were falling behind in financial literacy and that the increasingly complex world of consumer banking demanded a new kind of education .
financial	12	1	Proponents of the requirement argued that American children were falling behind in financial literacy and that the increasingly complex world of consumer banking demanded a new kind of education .
banking	22	1	Proponents of the requirement argued that American children were falling behind in financial literacy and that the increasingly complex world of consumer banking demanded a new kind of education .
children	7	0	Proponents of the requirement argued that American children were falling behind in financial literacy and that the increasingly complex world of consumer banking demanded a new kind of education .
falling	9	0	Proponents of the requirement argued that American children were falling behind in financial literacy and that the increasingly complex world of consumer banking demanded a new kind of education .
world	19	0	Proponents of the requirement argued that American children were falling behind in financial literacy and that the increasingly complex world of consumer banking demanded a new kind of education .
new	25	0	Proponents of the requirement argued that American children were falling behind in financial literacy and that the increasingly complex world of consumer banking demanded a new kind of education .
kind	26	0	Proponents of the requirement argued that American children were falling behind in financial literacy and that the increasingly complex world of consumer banking demanded a new kind of education .
education	28	0	Proponents of the requirement argued that American children were falling behind in financial literacy and that the increasingly complex world of consumer banking demanded a new kind of education .
literacy	20	6	Results from the 2012 Program of International Student Assessment showed that U.S. teenagers were in the bottom half for financial literacy among the 18 countries that participated , ahead of France and Spain , but below Latvia , Russia and China .
participated	26	4	Results from the 2012 Program of International Student Assessment showed that U.S. teenagers were in the bottom half for financial literacy among the 18 countries that participated , ahead of France and Spain , but below Latvia , Russia and China .
financial	19	2	Results from the 2012 Program of International Student Assessment showed that U.S. teenagers were in the bottom half for financial literacy among the 18 countries that participated , ahead of France and Spain , but below Latvia , Russia and China .
Results	0	0	Results from the 2012 Program of International Student Assessment showed that U.S. teenagers were in the bottom half for financial literacy among the 18 countries that participated , ahead of France and Spain , but below Latvia , Russia and China .
showed	9	0	Results from the 2012 Program of International Student Assessment showed that U.S. teenagers were in the bottom half for financial literacy among the 18 countries that participated , ahead of France and Spain , but below Latvia , Russia and China .
teenagers	12	0	Results from the 2012 Program of International Student Assessment showed that U.S. teenagers were in the bottom half for financial literacy among the 18 countries that participated , ahead of France and Spain , but below Latvia , Russia and China .
bottom	16	0	Results from the 2012 Program of International Student Assessment showed that U.S. teenagers were in the bottom half for financial literacy among the 18 countries that participated , ahead of France and Spain , but below Latvia , Russia and China .
countries	24	0	Results from the 2012 Program of International Student Assessment showed that U.S. teenagers were in the bottom half for financial literacy among the 18 countries that participated , ahead of France and Spain , but below Latvia , Russia and China .
ahead	28	0	Results from the 2012 Program of International Student Assessment showed that U.S. teenagers were in the bottom half for financial literacy among the 18 countries that participated , ahead of France and Spain , but below Latvia , Russia and China .
states	4	0	There are now 17 states that require high school students to take personal - finance courses , according to the Council on Economic Education .
require	6	0	There are now 17 states that require high school students to take personal - finance courses , according to the Council on Economic Education .
high	7	0	There are now 17 states that require high school students to take personal - finance courses , according to the Council on Economic Education .
school	8	0	There are now 17 states that require high school students to take personal - finance courses , according to the Council on Economic Education .
students	9	0	There are now 17 states that require high school students to take personal - finance courses , according to the Council on Economic Education .
take	11	0	There are now 17 states that require high school students to take personal - finance courses , according to the Council on Economic Education .
courses	15	0	There are now 17 states that require high school students to take personal - finance courses , according to the Council on Economic Education .
according	17	0	There are now 17 states that require high school students to take personal - finance courses , according to the Council on Economic Education .
required	10	4	An economics and personal - finance class is now a required course for those who want a high school diploma in Virginia , and the Class of 2015 was the first that needed the course to graduate .
graduate	36	3	An economics and personal - finance class is now a required course for those who want a high school diploma in Virginia , and the Class of 2015 was the first that needed the course to graduate .
economics	1	3	An economics and personal - finance class is now a required course for those who want a high school diploma in Virginia , and the Class of 2015 was the first that needed the course to graduate .
diploma	19	1	An economics and personal - finance class is now a required course for those who want a high school diploma in Virginia , and the Class of 2015 was the first that needed the course to graduate .
class	6	0	An economics and personal - finance class is now a required course for those who want a high school diploma in Virginia , and the Class of 2015 was the first that needed the course to graduate .
course	11	0	An economics and personal - finance class is now a required course for those who want a high school diploma in Virginia , and the Class of 2015 was the first that needed the course to graduate .
want	15	0	An economics and personal - finance class is now a required course for those who want a high school diploma in Virginia , and the Class of 2015 was the first that needed the course to graduate .
high	17	0	An economics and personal - finance class is now a required course for those who want a high school diploma in Virginia , and the Class of 2015 was the first that needed the course to graduate .
school	18	0	An economics and personal - finance class is now a required course for those who want a high school diploma in Virginia , and the Class of 2015 was the first that needed the course to graduate .
Class	25	0	An economics and personal - finance class is now a required course for those who want a high school diploma in Virginia , and the Class of 2015 was the first that needed the course to graduate .
needed	32	0	An economics and personal - finance class is now a required course for those who want a high school diploma in Virginia , and the Class of 2015 was the first that needed the course to graduate .
course	34	0	An economics and personal - finance class is now a required course for those who want a high school diploma in Virginia , and the Class of 2015 was the first that needed the course to graduate .
hulks	24	6	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned - out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .
assault	31	3	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned - out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .
gunships	40	5	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned - out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .
slung	33	3	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned - out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .
roaring	41	5	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned - out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .
overhead	42	1	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned - out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .
everywhere	17	1	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned - out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .
weapons	5	0	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned - out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .
long	9	0	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned - out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .
war	12	0	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned - out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .
seen	15	0	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned - out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .
almost	16	0	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned - out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .
tanks	27	0	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned - out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .
rifles	32	0	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned - out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .
policemen	35	0	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned - out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .
shoulders	37	0	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned - out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .
helicopter	39	0	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned - out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .
weaponry	24	7	It should be no surprise then that young children play `` police and Taliban , '' chasing each other around with toy guns and weaponry designed to mimic the real thing .
mimic	27	6	It should be no surprise then that young children play `` police and Taliban , '' chasing each other around with toy guns and weaponry designed to mimic the real thing .
chasing	16	1	It should be no surprise then that young children play `` police and Taliban , '' chasing each other around with toy guns and weaponry designed to mimic the real thing .
designed	25	1	It should be no surprise then that young children play `` police and Taliban , '' chasing each other around with toy guns and weaponry designed to mimic the real thing .
surprise	4	0	It should be no surprise then that young children play `` police and Taliban , '' chasing each other around with toy guns and weaponry designed to mimic the real thing .
young	7	0	It should be no surprise then that young children play `` police and Taliban , '' chasing each other around with toy guns and weaponry designed to mimic the real thing .
children	8	0	It should be no surprise then that young children play `` police and Taliban , '' chasing each other around with toy guns and weaponry designed to mimic the real thing .
play	9	0	It should be no surprise then that young children play `` police and Taliban , '' chasing each other around with toy guns and weaponry designed to mimic the real thing .
police	11	0	It should be no surprise then that young children play `` police and Taliban , '' chasing each other around with toy guns and weaponry designed to mimic the real thing .
toy	21	0	It should be no surprise then that young children play `` police and Taliban , '' chasing each other around with toy guns and weaponry designed to mimic the real thing .
guns	22	0	It should be no surprise then that young children play `` police and Taliban , '' chasing each other around with toy guns and weaponry designed to mimic the real thing .
real	29	0	It should be no surprise then that young children play `` police and Taliban , '' chasing each other around with toy guns and weaponry designed to mimic the real thing .
thing	30	0	It should be no surprise then that young children play `` police and Taliban , '' chasing each other around with toy guns and weaponry designed to mimic the real thing .
casualties	9	6	And like the real war , there have been casualties .
real	3	0	And like the real war , there have been casualties .
war	4	0	And like the real war , there have been casualties .
suffered	9	2	At least 184 people , nearly all children , suffered eye injuries over the recent Eid al - Fitr holiday from toy weapons that fire BB pellets and rubber shot , health officials said .
pellets	26	1	At least 184 people , nearly all children , suffered eye injuries over the recent Eid al - Fitr holiday from toy weapons that fire BB pellets and rubber shot , health officials said .
rubber	28	1	At least 184 people , nearly all children , suffered eye injuries over the recent Eid al - Fitr holiday from toy weapons that fire BB pellets and rubber shot , health officials said .
shot	29	1	At least 184 people , nearly all children , suffered eye injuries over the recent Eid al - Fitr holiday from toy weapons that fire BB pellets and rubber shot , health officials said .
officials	32	1	At least 184 people , nearly all children , suffered eye injuries over the recent Eid al - Fitr holiday from toy weapons that fire BB pellets and rubber shot , health officials said .
injuries	11	1	At least 184 people , nearly all children , suffered eye injuries over the recent Eid al - Fitr holiday from toy weapons that fire BB pellets and rubber shot , health officials said .
people	3	0	At least 184 people , nearly all children , suffered eye injuries over the recent Eid al - Fitr holiday from toy weapons that fire BB pellets and rubber shot , health officials said .
nearly	5	0	At least 184 people , nearly all children , suffered eye injuries over the recent Eid al - Fitr holiday from toy weapons that fire BB pellets and rubber shot , health officials said .
children	7	0	At least 184 people , nearly all children , suffered eye injuries over the recent Eid al - Fitr holiday from toy weapons that fire BB pellets and rubber shot , health officials said .
eye	10	0	At least 184 people , nearly all children , suffered eye injuries over the recent Eid al - Fitr holiday from toy weapons that fire BB pellets and rubber shot , health officials said .
recent	14	0	At least 184 people , nearly all children , suffered eye injuries over the recent Eid al - Fitr holiday from toy weapons that fire BB pellets and rubber shot , health officials said .
holiday	19	0	At least 184 people , nearly all children , suffered eye injuries over the recent Eid al - Fitr holiday from toy weapons that fire BB pellets and rubber shot , health officials said .
toy	21	0	At least 184 people , nearly all children , suffered eye injuries over the recent Eid al - Fitr holiday from toy weapons that fire BB pellets and rubber shot , health officials said .
weapons	22	0	At least 184 people , nearly all children , suffered eye injuries over the recent Eid al - Fitr holiday from toy weapons that fire BB pellets and rubber shot , health officials said .
fire	24	0	At least 184 people , nearly all children , suffered eye injuries over the recent Eid al - Fitr holiday from toy weapons that fire BB pellets and rubber shot , health officials said .
health	31	0	At least 184 people , nearly all children , suffered eye injuries over the recent Eid al - Fitr holiday from toy weapons that fire BB pellets and rubber shot , health officials said .
said	33	0	At least 184 people , nearly all children , suffered eye injuries over the recent Eid al - Fitr holiday from toy weapons that fire BB pellets and rubber shot , health officials said .
authorities	3	4	In response , authorities have banned toy guns .
banned	5	1	In response , authorities have banned toy guns .
response	1	0	In response , authorities have banned toy guns .
toy	6	0	In response , authorities have banned toy guns .
guns	7	0	In response , authorities have banned toy guns .
confiscate	10	9	`` The Afghan Interior Ministry orders all police forces to confiscate toy guns , which can lead to physical and psychological damage to people , '' the order read .
psychological	20	6	`` The Afghan Interior Ministry orders all police forces to confiscate toy guns , which can lead to physical and psychological damage to people , '' the order read .
physical	18	1	`` The Afghan Interior Ministry orders all police forces to confiscate toy guns , which can lead to physical and psychological damage to people , '' the order read .
orders	5	1	`` The Afghan Interior Ministry orders all police forces to confiscate toy guns , which can lead to physical and psychological damage to people , '' the order read .
police	7	0	`` The Afghan Interior Ministry orders all police forces to confiscate toy guns , which can lead to physical and psychological damage to people , '' the order read .
forces	8	0	`` The Afghan Interior Ministry orders all police forces to confiscate toy guns , which can lead to physical and psychological damage to people , '' the order read .
toy	11	0	`` The Afghan Interior Ministry orders all police forces to confiscate toy guns , which can lead to physical and psychological damage to people , '' the order read .
guns	12	0	`` The Afghan Interior Ministry orders all police forces to confiscate toy guns , which can lead to physical and psychological damage to people , '' the order read .
lead	16	0	`` The Afghan Interior Ministry orders all police forces to confiscate toy guns , which can lead to physical and psychological damage to people , '' the order read .
damage	21	0	`` The Afghan Interior Ministry orders all police forces to confiscate toy guns , which can lead to physical and psychological damage to people , '' the order read .
people	23	0	`` The Afghan Interior Ministry orders all police forces to confiscate toy guns , which can lead to physical and psychological damage to people , '' the order read .
order	27	0	`` The Afghan Interior Ministry orders all police forces to confiscate toy guns , which can lead to physical and psychological damage to people , '' the order read .
read	28	0	`` The Afghan Interior Ministry orders all police forces to confiscate toy guns , which can lead to physical and psychological damage to people , '' the order read .
elaborate	3	8	It did n't elaborate on what psychological damage the toy guns can cause .
psychological	6	6	It did n't elaborate on what psychological damage the toy guns can cause .
damage	7	0	It did n't elaborate on what psychological damage the toy guns can cause .
toy	9	0	It did n't elaborate on what psychological damage the toy guns can cause .
guns	10	0	It did n't elaborate on what psychological damage the toy guns can cause .
cause	12	0	It did n't elaborate on what psychological damage the toy guns can cause .
brandishing	29	9	The noise of gunfire is almost unmistakable to most Afghans , and unlike in the U.S. , there have been no prominent cases of police officers here killing children brandishing toy Kalashnikovs or plastic pistols .
unmistakable	6	6	The noise of gunfire is almost unmistakable to most Afghans , and unlike in the U.S. , there have been no prominent cases of police officers here killing children brandishing toy Kalashnikovs or plastic pistols .
prominent	21	8	The noise of gunfire is almost unmistakable to most Afghans , and unlike in the U.S. , there have been no prominent cases of police officers here killing children brandishing toy Kalashnikovs or plastic pistols .
pistols	34	1	The noise of gunfire is almost unmistakable to most Afghans , and unlike in the U.S. , there have been no prominent cases of police officers here killing children brandishing toy Kalashnikovs or plastic pistols .
noise	1	0	The noise of gunfire is almost unmistakable to most Afghans , and unlike in the U.S. , there have been no prominent cases of police officers here killing children brandishing toy Kalashnikovs or plastic pistols .
gunfire	3	0	The noise of gunfire is almost unmistakable to most Afghans , and unlike in the U.S. , there have been no prominent cases of police officers here killing children brandishing toy Kalashnikovs or plastic pistols .
almost	5	0	The noise of gunfire is almost unmistakable to most Afghans , and unlike in the U.S. , there have been no prominent cases of police officers here killing children brandishing toy Kalashnikovs or plastic pistols .
cases	22	0	The noise of gunfire is almost unmistakable to most Afghans , and unlike in the U.S. , there have been no prominent cases of police officers here killing children brandishing toy Kalashnikovs or plastic pistols .
police	24	0	The noise of gunfire is almost unmistakable to most Afghans , and unlike in the U.S. , there have been no prominent cases of police officers here killing children brandishing toy Kalashnikovs or plastic pistols .
officers	25	0	The noise of gunfire is almost unmistakable to most Afghans , and unlike in the U.S. , there have been no prominent cases of police officers here killing children brandishing toy Kalashnikovs or plastic pistols .
killing	27	0	The noise of gunfire is almost unmistakable to most Afghans , and unlike in the U.S. , there have been no prominent cases of police officers here killing children brandishing toy Kalashnikovs or plastic pistols .
children	28	0	The noise of gunfire is almost unmistakable to most Afghans , and unlike in the U.S. , there have been no prominent cases of police officers here killing children brandishing toy Kalashnikovs or plastic pistols .
toy	30	0	The noise of gunfire is almost unmistakable to most Afghans , and unlike in the U.S. , there have been no prominent cases of police officers here killing children brandishing toy Kalashnikovs or plastic pistols .
plastic	33	0	The noise of gunfire is almost unmistakable to most Afghans , and unlike in the U.S. , there have been no prominent cases of police officers here killing children brandishing toy Kalashnikovs or plastic pistols .
grown	2	0	Afghans have grown familiar with firearms over long decades of war , from the 1979 Soviet invasion and the resulting insurgency to the civil war and the rise of the Taliban in the 1990s .
familiar	3	0	Afghans have grown familiar with firearms over long decades of war , from the 1979 Soviet invasion and the resulting insurgency to the civil war and the rise of the Taliban in the 1990s .
firearms	5	0	Afghans have grown familiar with firearms over long decades of war , from the 1979 Soviet invasion and the resulting insurgency to the civil war and the rise of the Taliban in the 1990s .
long	7	0	Afghans have grown familiar with firearms over long decades of war , from the 1979 Soviet invasion and the resulting insurgency to the civil war and the rise of the Taliban in the 1990s .
war	10	0	Afghans have grown familiar with firearms over long decades of war , from the 1979 Soviet invasion and the resulting insurgency to the civil war and the rise of the Taliban in the 1990s .
invasion	16	0	Afghans have grown familiar with firearms over long decades of war , from the 1979 Soviet invasion and the resulting insurgency to the civil war and the rise of the Taliban in the 1990s .
resulting	19	0	Afghans have grown familiar with firearms over long decades of war , from the 1979 Soviet invasion and the resulting insurgency to the civil war and the rise of the Taliban in the 1990s .
insurgency	20	0	Afghans have grown familiar with firearms over long decades of war , from the 1979 Soviet invasion and the resulting insurgency to the civil war and the rise of the Taliban in the 1990s .
rise	27	0	Afghans have grown familiar with firearms over long decades of war , from the 1979 Soviet invasion and the resulting insurgency to the civil war and the rise of the Taliban in the 1990s .
define	33	1	CHICAGO -- On a recent afternoon at Chicago 's Dewey Elementary Academy of Fine Arts , Ladon Brumfield asked a group of 9 - and 10-year - old African - American girls to define beauty .
beauty	34	1	CHICAGO -- On a recent afternoon at Chicago 's Dewey Elementary Academy of Fine Arts , Ladon Brumfield asked a group of 9 - and 10-year - old African - American girls to define beauty .
asked	18	0	CHICAGO -- On a recent afternoon at Chicago 's Dewey Elementary Academy of Fine Arts , Ladon Brumfield asked a group of 9 - and 10-year - old African - American girls to define beauty .
group	20	0	CHICAGO -- On a recent afternoon at Chicago 's Dewey Elementary Academy of Fine Arts , Ladon Brumfield asked a group of 9 - and 10-year - old African - American girls to define beauty .
girls	31	0	CHICAGO -- On a recent afternoon at Chicago 's Dewey Elementary Academy of Fine Arts , Ladon Brumfield asked a group of 9 - and 10-year - old African - American girls to define beauty .
unanimously	4	8	The nearly 20 girls unanimously agreed that if a woman had short , kinky hair , she was not beautiful .
kinky	13	6	The nearly 20 girls unanimously agreed that if a woman had short , kinky hair , she was not beautiful .
nearly	1	2	The nearly 20 girls unanimously agreed that if a woman had short , kinky hair , she was not beautiful .
beautiful	19	1	The nearly 20 girls unanimously agreed that if a woman had short , kinky hair , she was not beautiful .
girls	3	0	The nearly 20 girls unanimously agreed that if a woman had short , kinky hair , she was not beautiful .
agreed	5	0	The nearly 20 girls unanimously agreed that if a woman had short , kinky hair , she was not beautiful .
woman	9	0	The nearly 20 girls unanimously agreed that if a woman had short , kinky hair , she was not beautiful .
short	11	0	The nearly 20 girls unanimously agreed that if a woman had short , kinky hair , she was not beautiful .
hair	14	0	The nearly 20 girls unanimously agreed that if a woman had short , kinky hair , she was not beautiful .
director	5	1	But when Brumfield , the director of a project empowering young girls , passed around a photograph of Lupita Nyong ` o , the dark - brown - skinned actress who sports an extra - short natural , the girls were silent for a moment .
empowering	9	8	But when Brumfield , the director of a project empowering young girls , passed around a photograph of Lupita Nyong ` o , the dark - brown - skinned actress who sports an extra - short natural , the girls were silent for a moment .
photograph	16	1	But when Brumfield , the director of a project empowering young girls , passed around a photograph of Lupita Nyong ` o , the dark - brown - skinned actress who sports an extra - short natural , the girls were silent for a moment .
natural	36	2	But when Brumfield , the director of a project empowering young girls , passed around a photograph of Lupita Nyong ` o , the dark - brown - skinned actress who sports an extra - short natural , the girls were silent for a moment .
project	8	1	But when Brumfield , the director of a project empowering young girls , passed around a photograph of Lupita Nyong ` o , the dark - brown - skinned actress who sports an extra - short natural , the girls were silent for a moment .
sports	31	2	But when Brumfield , the director of a project empowering young girls , passed around a photograph of Lupita Nyong ` o , the dark - brown - skinned actress who sports an extra - short natural , the girls were silent for a moment .
young	10	0	But when Brumfield , the director of a project empowering young girls , passed around a photograph of Lupita Nyong ` o , the dark - brown - skinned actress who sports an extra - short natural , the girls were silent for a moment .
girls	11	0	But when Brumfield , the director of a project empowering young girls , passed around a photograph of Lupita Nyong ` o , the dark - brown - skinned actress who sports an extra - short natural , the girls were silent for a moment .
passed	13	0	But when Brumfield , the director of a project empowering young girls , passed around a photograph of Lupita Nyong ` o , the dark - brown - skinned actress who sports an extra - short natural , the girls were silent for a moment .
actress	29	0	But when Brumfield , the director of a project empowering young girls , passed around a photograph of Lupita Nyong ` o , the dark - brown - skinned actress who sports an extra - short natural , the girls were silent for a moment .
girls	39	0	But when Brumfield , the director of a project empowering young girls , passed around a photograph of Lupita Nyong ` o , the dark - brown - skinned actress who sports an extra - short natural , the girls were silent for a moment .
silent	41	0	But when Brumfield , the director of a project empowering young girls , passed around a photograph of Lupita Nyong ` o , the dark - brown - skinned actress who sports an extra - short natural , the girls were silent for a moment .
moment	44	0	But when Brumfield , the director of a project empowering young girls , passed around a photograph of Lupita Nyong ` o , the dark - brown - skinned actress who sports an extra - short natural , the girls were silent for a moment .
unanimous	8	8	Then , once again , their answer was unanimous : They agreed Nyong ' o was beautiful .
agreed	11	1	Then , once again , their answer was unanimous : They agreed Nyong ' o was beautiful .
answer	6	0	Then , once again , their answer was unanimous : They agreed Nyong ' o was beautiful .
beautiful	16	0	Then , once again , their answer was unanimous : They agreed Nyong ' o was beautiful .
readjustment	10	9	`` It 's like they had to make a mental readjustment , '' said Brumfield , founder of the non - profit Girls Rule !
mental	9	2	`` It 's like they had to make a mental readjustment , '' said Brumfield , founder of the non - profit Girls Rule !
